Dominio,URL
Educacion,https://www.tec.mx/
Educacion,https://www.ipn.mx/
Educacion,https://www.ucam.edu/
Educacion,https://www.ucv.es/
Educacion,https://www.uspceu.com/
Educacion,https://www.ucm.es/
Educacion,https://www.uah.es/
Educacion,https://www.ua.es/
Educacion,https://www.ual.es/
Educacion,https://www.udg.mx/
Educacion,https://www.uanl.mx/
Educacion,https://www.uv.mx/
Educacion,https://www.uam.mx/
Educacion,https://www.udlap.mx/
Educacion,https://ibero.mx/
Educacion,https://www.itam.mx/
Educacion,https://www.comillas.edu/
Educacion,https://www.uc3m.es/inicio
Educacion,https://www.upm.es/
Educacion,https://www.upc.edu/es?set_language=es
Educacion,https://www.uloyola.es/ 
Educacion,https://www.upsa.es/ 
Educacion,http://www.uemc.es/ 
Educacion,http://www.ui1.es/ 
Educacion,http://www.uoc.edu/ 
Educacion,http://www.unir.net/ 
Educacion,http://www.udima.es/ 
Educacion,http://www.unia.es/
Educacion,http://www.ujaen.es/
Educacion,http://www.uma.es/
Traduccion,https://www.straker.es
Traduccion,https://www.intertext.es
Traduccion,https://www.traductorjuradoeikatrad.es/
Traduccion,https://www.traductor-jurado.org
Traduccion,https://www.linguafranca.es
Traduccion,https://www.translayte.com/
Traduccion,https://www.traduccionjurada.tv
Traduccion,https://www.everyword.eu
Traduccion,https://www.juridiomas.es
Traduccion,https://www.traductor-jurado.org
Traduccion,https://www.wetranslateontime.com/es/
Traduccion,https://www.alphatrad.es/
Traduccion,https://www.jurada.es/
Traduccion,https://www.alfa.es/traduccion-jurada/
Traduccion,https://www.protranslate.net/es/traduccion-jurada/ 
Traduccion,https://translated.com/bienvenido
Traduccion,https://aleftraducciones.com/traductor-jurado-italiano/
Traduccion,https://www.tradulop.com/
